Event Type,Duration (hrs),Photographers,Location,Editing Level,Additional Services,Photographer Rating,Cost
Wedding,2,5,Beach,Basic,Photo Album,3.7,3085.0
Sports,11,1,Mountain,Premium,Instant Prints,4.9,3495.0
Birthday,6,2,Suburban,Basic,Instant Prints,4.3,2065.0
Concert,6,5,Mountain,Premium,Instant Prints,4.6,3980.0
Sports,5,3,City,Basic,Instant Prints,3.8,3240.0
Engagement,9,3,Beach,Advanced,Drone,4.6,3330.0
Sports,12,3,Suburban,Standard,Live Streaming,4.5,4325.0
Corporate,3,3,Rural,Standard,None,3.5,2075.0
Engagement,3,5,Rural,Premium,Live Streaming,4.1,3305.0
Fashion Show,6,4,Suburban,Advanced,None,4.1,4105.0
Engagement,5,2,Rural,Basic,Live Streaming,3.7,2885.0
Sports,9,2,City,Basic,Photo Album,4.4,3520.0
Corporate,9,4,Rural,Premium,None,4.8,2940.0
Anniversary,4,1,Mountain,Basic,None,4.3,2015.0
Birthday,3,3,Beach,Basic,Instant Prints,5.0,2000.0
Fashion Show,3,4,Suburban,Advanced,Live Streaming,4.4,4320.0
Concert,11,3,Suburban,Standard,Photo Album,4.9,4145.0
Concert,10,4,Mountain,Premium,Photo Album,4.9,4245.0
Concert,2,5,Rural,Standard,Photo Album,3.6,3580.0
Birthday,3,4,Rural,Basic,Instant Prints,3.5,2125.0
Engagement,5,3,City,Basic,Photo Album,4.7,2835.0
Sports,4,2,Suburban,Premium,None,4.0,2800.0
Concert,2,5,Rural,Advanced,Photo Album,4.5,3625.0
Concert,9,2,Mountain,Standard,Instant Prints,3.8,3640.0
Engagement,2,4,Rural,Basic,Live Streaming,3.5,2975.0
Concert,2,1,Mountain,Standard,Drone,3.7,2885.0
Corporate,9,4,Beach,Advanced,Live Streaming,4.9,3445.0
Anniversary,7,1,Mountain,Basic,None,4.6,2330.0
Corporate,12,2,Mountain,Advanced,Instant Prints,4.8,2990.0
Corporate,9,1,Beach,Basic,Drone,4.7,2635.0
Birthday,10,4,City,Basic,Instant Prints,3.7,2835.0
Corporate,5,2,City,Premium,Drone,3.5,2375.0
Corporate,6,3,Beach,Premium,Drone,4.7,2735.0
Concert,11,3,Mountain,Standard,None,4.0,3900.0
Fashion Show,12,2,City,Standard,Drone,4.3,4615.0
Concert,7,5,City,Standard,Live Streaming,4.2,4410.0
Concert,9,2,City,Standard,None,4.4,3520.0
Engagement,5,4,Beach,Advanced,None,3.5,2775.0
Sports,9,5,Mountain,Premium,None,4.0,3900.0
Anniversary,5,5,Suburban,Standard,Instant Prints,4.0,3050.0
Concert,11,1,Suburban,Advanced,Photo Album,4.4,3720.0
Concert,7,3,Mountain,Premium,Instant Prints,4.8,3690.0
Sports,3,2,Suburban,Premium,Live Streaming,5.0,3250.0
Sports,5,4,Suburban,Standard,Live Streaming,3.7,3785.0
Fashion Show,2,4,Mountain,Standard,Live Streaming,3.7,4185.0
Concert,2,1,Mountain,Advanced,Drone,4.5,2925.0
Fashion Show,8,2,Beach,Standard,Drone,3.9,4195.0
Corporate,8,4,Mountain,Premium,Instant Prints,4.6,2980.0
Concert,4,2,Suburban,Premium,Drone,4.9,3345.0
Anniversary,5,4,Beach,Standard,Live Streaming,4.3,3215.0
Birthday,12,2,Suburban,Premium,Instant Prints,3.7,2635.0
Anniversary,2,4,Rural,Standard,Instant Prints,4.9,2595.0
Fashion Show,2,5,Beach,Basic,Instant Prints,3.6,4030.0
Engagement,5,3,Suburban,Premium,None,3.7,2585.0
Corporate,10,3,City,Premium,Live Streaming,3.5,3275.0
Anniversary,12,3,City,Standard,Photo Album,4.4,3420.0
Corporate,6,2,Rural,Premium,Instant Prints,4.1,2355.0
Corporate,3,2,Beach,Basic,Photo Album,4.3,2115.0
Birthday,4,4,Suburban,Advanced,None,4.1,2105.0
Wedding,12,3,Beach,Advanced,Instant Prints,3.6,3630.0
Sports,5,1,Mountain,Premium,Live Streaming,3.8,3190.0
Concert,2,2,Suburban,Basic,Drone,4.7,3135.0
Fashion Show,7,5,Rural,Premium,Drone,4.8,4740.0
Wedding,5,1,Rural,Basic,Live Streaming,3.8,2890.0
Corporate,11,5,City,Advanced,Drone,4.1,3605.0
Birthday,12,2,Beach,Basic,None,4.5,2525.0
